RECTYPE,LEA,ESTAB,SCHNAME,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_95,PTL2BASICS_95,PTEBACC_94,PTL2BASICS_94,PT5EM_94
1,826,4002,Sir Herbert Leon Academy,138439,0,AC,123,42.7,-0.06,-0.28,0.17,10%,2%,20%,2%,42%,41%
4,826, , , , , ,2858,44.5,-0.14,-0.19,-0.1,47.60%,19.80%,40.30%,22.30%,62.10%,58.60%
2,826,7026,Slated Row School,110587,0,CYS,15,0.5,-1.57,-2.22,-0.92,0%,0%,0%,0%,0%,0%
1,826,5410,Denbigh School,136468,0,ACC,200,53.3,0.29,0.12,0.47,61%,30%,55%,31%,77%,74%
1,826,4703,Oakgrove School,136454,0,ACC,200,52.4,0.02,-0.15,0.2,41%,29%,57%,32%,78%,77%
1,826,6001,The Webber Independent School,110567,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,826,7009,White Spire School,110575,0,CYS,19,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,826,4704,The Hazeley Academy,136844,0,ACC,232,47.7,0.22,0.06,0.38,72%,26%,38%,34%,66%,64%
1,826,4018,Ousedale School,137052,0,ACC,348,50.9,0.11,-0.03,0.24,29%,21%,56%,22%,78%,73%
1,826,4702,St Paul's Catholic School,110517,0,VA,281,44.8,-0.07,-0.22,0.09,84%,25%,43%,28%,64%,60%
1,830,6002,Ockbrook School,113007,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4172,John Flamsteed Community School,142710,0,ACC,110,42.8,-0.09,-0.32,0.14,21%,10%,33%,11%,54%,51%
1,830,4193,Hasland Hall Community School,112959,0,CY,121,46.3,-0.29,-0.51,-0.06,54%,28%,50%,33%,72%,65%
1,830,6014,Mount St Mary's College,113010,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,830,7005,Brackenfield Special School,113031,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,830,6004,St Anselm's School,113002,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4054,Wilsthorpe Community School,112935,0,CY,117,43.5,-0.21,-0.44,0.01,28%,14%,47%,15%,64%,62%
1,830,5410,The Pingle School,112995,0,FD,170,37.6,-0.79,-0.98,-0.6,8%,5%,35%,6%,53%,44%
1,830,6005,Abbotsholme School,113003,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,830,7012,Stubbin Wood School,113036,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,830,7019,Stanton Vale School,113041,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,830,4074,William Allitt School,112938,0,CY,173,45.2,-0.29,-0.47,-0.1,18%,9%,40%,10%,61%,56%
1,830,4002,Ormiston Ilkeston Enterprise Academy,137109,0,AC,114,40.6,-0.43,-0.66,-0.2,28%,12%,21%,14%,44%,43%
2,830,6043,Longdon Park School,141994,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4005,St Philip Howard Catholic Voluntary Academy,142042,0,AC,91,40.1,-0.42,-0.68,-0.16,3%,2%,32%,2%,60%,57%
1,830,4019,Chapel-en-le-Frith High School,112932,0,CY,199,47.8,0.08,-0.1,0.25,31%,25%,44%,26%,69%,67%
1,830,5400,Netherthorpe School,137902,0,ACC,168,45.8,-0.5,-0.69,-0.31,42%,28%,48%,30%,67%,63%
1,830,4192,Whittington Green School,112958,0,CY,81,39.8,-0.62,-0.89,-0.34,16%,9%,22%,11%,47%,47%
1,830,4007,Heritage High School,144391,0,AC, , , , , , , , , , , 
1,830,4004,Outwood Academy Newbold,141377,0,AC,122,47.7,0.42,0.2,0.64,26%,20%,48%,21%,72%,72%
2,830,6009,Bladon House School,113019,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,830,6033,The Linnet Independent Learning Centre,131327,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4006,David Nieper Academy,142405,0,AC,74,39.3,-0.58,-0.86,-0.29,8%,3%,30%,3%,58%,55%
1,830,5405,John Port School,136591,0,ACC,294,45.9,-0.2,-0.34,-0.05,20%,12%,45%,15%,69%,64%
1,830,4173,Tibshelf Community School,112949,0,CY,156,44,-0.43,-0.63,-0.24,47%,24%,40%,26%,62%,58%
1,830,4197,The Bolsover School,138836,0,ACC,142,44.5,-0.14,-0.35,0.06,25%,13%,39%,15%,63%,59%
1,830,5408,Heanor Gate Science College,137606,0,ACC,228,47.8,-0.22,-0.38,-0.06,21%,15%,38%,18%,61%,61%
2,830,7009,Swanwick School and Sports College,113033,0,CYS,12,2.8,-2.27,-2.97,-1.57,0%,0%,0%,0%,0%,0%
1,830,5416,The Ripley Academy,141259,0,ACC,90,38.1,-0.49,-0.74,-0.23,71%,11%,20%,12%,44%,40%
1,830,5404,Belper School and Sixth Form Centre,112989,0,FD,212,46.5,-0.05,-0.21,0.12,18%,15%,45%,16%,67%,65%
1,830,4111,Hope Valley College,137350,0,ACC,102,49.5,-0.24,-0.49,0,38%,21%,53%,23%,72%,72%
1,830,4126,Eckington School,112943,0,CY,212,44.5,-0.08,-0.24,0.09,28%,17%,31%,17%,54%,53%
1,830,4509,Dronfield Henry Fanshawe School,112969,0,VC,289,49.3,-0.09,-0.23,0.06,67%,37%,52%,42%,73%,69%
1,830,6000,Trent College,113004,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,830,7006,Ashgate Croft School,113032,0,CYS,11,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,830,6010,Michael House School,113014,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,5411,Lady Manners School,112996,0,FD,228,50.4,-0.17,-0.33,-0.01,33%,24%,46%,25%,74%,70%
1,830,4174,Highfields School,112950,0,CY,208,47.7,-0.3,-0.47,-0.13,40%,27%,48%,30%,70%,66%
1,830,4200,Springwell Community College,112966,0,CY,152,42.1,-0.45,-0.65,-0.25,43%,11%,30%,12%,54%,51%
1,830,4510,Buxton Community School,112970,0,VC,201,45.1,-0.19,-0.36,-0.02,12%,7%,34%,8%,58%,56%
2,830,7018,Alfreton Park Community Special School,113040,0,CYS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,830,4505,Anthony Gell School,112968,0,VC,109,51.2,-0.03,-0.26,0.21,29%,24%,64%,24%,79%,74%
1,830,5413,"St Mary's Catholic High School, A Catholic Voluntary Academy",138470,0,ACC,195,54.2,0.3,0.12,0.48,33%,28%,59%,28%,80%,79%
2,830,7001,Holbrook School for Autism,131323,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,830,4052,The Long Eaton School,136716,0,ACC,195,41.8,-0.75,-0.92,-0.57,52%,21%,39%,22%,62%,55%
2,830,6024,Pegasus School,132120,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4034,Tupton Hall School,112933,0,CY,231,41.8,-0.56,-0.72,-0.4,13%,9%,32%,10%,57%,54%
1,830,4191,Glossopdale School,112957,0,CY,185,46.6,-0.04,-0.22,0.14,22%,14%,40%,17%,61%,59%
2,830,7017,Peak School,113039,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,830,4500,Queen Elizabeth's Grammar School,136972,0,ACC,189,50.7,-0.07,-0.25,0.11,41%,29%,55%,30%,76%,69%
1,830,6905,Shirebrook Academy,136127,0,AC,149,39.8,-0.5,-0.7,-0.3,18%,10%,23%,13%,46%,44%
1,830,4169,Kirk Hallam Community Academy,136485,0,ACC,224,41.1,-0.77,-0.93,-0.61,41%,17%,32%,20%,56%,51%
1,830,5415,Saint John Houghton Catholic Voluntary Academy,137908,0,ACC,122,45.3,-0.4,-0.63,-0.18,17%,11%,52%,12%,70%,64%
2,830,6037,Bradshaw Farm Independent School,136167,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4103,Frederick Gent School,112941,0,CY,180,41,-0.54,-0.72,-0.36,43%,12%,37%,13%,62%,51%
1,830,4198,Heritage High School,112964,1,CY,132,42.7,-0.29,-0.5,-0.07,24%,7%,26%,8%,55%,52%
1,830,4097,Granville Sports College,112940,0,CY,96,46.3,-0.04,-0.29,0.21,29%,11%,40%,13%,69%,67%
2,830,6013,Eastwood Grange School,113026,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,6039,Focus School - Long Eaton Campus,135074,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,830,7014,Bennerley Fields Specialist Speech and Language College,113037,0,CYS,14,0.6,-1.63,-2.31,-0.96,0%,0%,0%,0%,0%,0%
1,830,4195,Parkside Community School,112961,0,CY,81,48.3,0.27,-0.01,0.54,41%,22%,44%,22%,73%,67%
1,830,4057,New Mills School & Sixth Form,112936,0,CY,85,46.2,-0.17,-0.43,0.1,25%,19%,44%,19%,73%,66%
1,830,5401,The Ecclesbourne School,136505,0,ACC,210,58.1,0.18,0,0.35,55%,44%,73%,45%,87%,86%
4,830, , , , , ,7265,45.3,-0.26,-0.29,-0.23,31.10%,18.00%,41.70%,19.50%,64.20%,60.50%
2,830,6003,High Grange School,136954,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,4601,St Thomas More Catholic School Buxton,112971,0,VA,71,50.7,-0.2,-0.49,0.09,44%,21%,62%,23%,73%,72%
1,830,6001,Repton School,113009,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,830,5409,Friesland School,112994,0,FD,204,46.8,-0.28,-0.45,-0.11,32%,20%,44%,20%,71%,65%
1,830,4089,Aldercar High School,112939,0,CY,101,43.2,0,-0.25,0.24,12%,7%,36%,8%,63%,54%
1,830,4196,Brookfield Academy Trust,136548,0,ACC,182,49.3,-0.13,-0.31,0.05,53%,40%,56%,42%,73%,69%
1,830,4000,Swanwick Hall School,142741,0,ACC,208,41.7,-0.3,-0.47,-0.13,8%,5%,37%,5%,60%,56%
2,830,6016,Alderwasley Hall School,113021,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,831,4608,Da Vinci Community School,134724,1,FD,95,32.5,-0.99,-1.24,-0.74,7%,0%,20%,0%,35%,33%
1,831,6905,Landau Forte College,135120,0,AC,163,51.4,0.35,0.16,0.55,21%,18%,51%,19%,72%,69%
1,831,5406,Murray Park Community School,112991,0,FD,137,40,-0.14,-0.35,0.07,6%,5%,29%,5%,54%,51%
1,831,4005,Noel-Baker Academy,143853,0,AC, , , , , , , , , , , 
1,831,5412,West Park School,136634,0,ACC,237,51.2,0.34,0.18,0.5,52%,33%,49%,38%,76%,76%
2,831,7027,St Andrew's School,113048,0,CYS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,831,4182,Littleover Community School,112956,0,CY,279,54,0.42,0.27,0.56,88%,49%,61%,55%,80%,75%
2,831,7021,St Martins School,113042,0,CYS,23,0.2,-1.82,-2.35,-1.29,0%,0%,0%,0%,0%,0%
1,831,4006,Lees Brook Community School,143934,0,ACC, , , , , , , , , , , 
1,831,4007,Da Vinci Academy,144066,0,AC, , , , , , , , , , , 
1,831,4178,Derby Moor Community Sports College,112952,0,FD,257,43.6,-0.04,-0.2,0.11,38%,17%,39%,19%,58%,56%
1,831,4008,City of Derby Academy,145132,0,AC, , , , , , , , , , , 
1,831,4002,City of Derby Academy,139564,1,AC,120,30.3,-0.77,-1,-0.54,61%,6%,16%,8%,35%,31%
4,831, , , , , ,2759,42.1,-0.19,-0.24,-0.14,30.00%,15.80%,36.80%,17.40%,57.50%,53.80%
1,831,6004,Derby Grammar School,113028,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,831,5402,Chellaston Academy,136360,0,ACC,254,53.5,0.37,0.21,0.52,35%,28%,58%,30%,80%,77%
1,831,4177,The Bemrose School,112951,0,FD,111,30.8,-0.43,-0.69,-0.18,5%,1%,10%,1%,23%,22%
1,831,5414,Allestree Woodlands School,137911,0,ACC,206,47,-0.38,-0.55,-0.21,27%,12%,51%,15%,73%,70%
2,831,7023,Royal School for the Deaf Derby,113044,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,831,7029,Kingsmead School,135345,0,CYS,17,5.1,-1.7,-2.3,-1.09,0%,0%,0%,0%,0%,0%
2,831,7025,St Clare's School,113046,0,CYS,20,1.2,-1.99,-2.57,-1.42,0%,0%,0%,0%,0%,0%
1,831,5407,Noel-Baker School,112992,1,FD,185,31.4,-0.69,-0.87,-0.5,10%,2%,16%,2%,32%,26%
1,831,6001,Derby High School,113017,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,831,7026,Ivy House School,113047,0,CYS,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,831,4003,Derby Manufacturing UTC,142129,0,UTC,107,34.9,-1.35,-1.59,-1.1,4%,1%,36%,1%,55%,40%
1,831,4607,"Saint Benedict, A Catholic Voluntary Academy",138622,0,ACC,205,43.6,-0.1,-0.27,0.07,11%,6%,32%,7%,64%,59%
1,831,4001,Merrill Academy,139051,0,AC,113,28,-0.48,-0.71,-0.24,19%,4%,9%,4%,27%,21%
1,831,6006,Normanton House School,134294,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,835,7007,Mountjoy School,113957,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,835,4615,The Thomas Hardye School,137163,0,ACC,428,50.2,0.36,0.24,0.48,57%,29%,54%,31%,71%,71%
2,835,5953,Westfield Arts College,113960,0,FDS,27,3,-1.46,-1.95,-0.98,0%,0%,0%,0%,0%,0%
1,835,6006,Sherborne School,113918,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,5406,Highcliffe School,136763,0,ACC,226,48.9,-0.27,-0.43,-0.1,58%,23%,42%,28%,70%,67%
1,835,4177,Twynham School,136649,0,ACC,240,50.7,0.19,0.03,0.35,64%,35%,47%,41%,73%,70%
1,835,6038,Harrow House International College,141138,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,835,7019,Yewstock School,113965,0,CYS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,835,6025,Leweston School,113920,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,835,7008,Wyvern Academy,138716,0,ACCS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,835,6009,Clayesmore School,113912,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,4003,Dorset Studio School,140977,0,SS,36,34.3,-0.3,-0.71,0.11,0%,0%,6%,0%,33%,31%
2,835,6033,The Forum School,116593,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,4007,Atlantic Academy Portland,145119,0,AC, , , , , , , , , , , 
1,835,4004,The Grange School,141378,0,AC,93,37.2,-0.55,-0.81,-0.3,16%,5%,24%,6%,48%,43%
1,835,5401,The Woodroffe School,113901,0,FD,157,56.5,0.39,0.19,0.59,88%,45%,62%,52%,84%,82%
1,835,4001,The Swanage School,139376,0,F,48,40.9,-0.18,-0.55,0.19,54%,19%,38%,21%,58%,48%
1,835,4801,"All Saints' Church of England School, Weymouth",113896,0,VA,147,43.1,-0.58,-0.78,-0.37,37%,16%,38%,18%,61%,61%
1,835,4002,The Sir John Colfox Academy,141735,0,ACC,128,46.7,-0.18,-0.4,0.04,89%,29%,38%,32%,64%,62%
1,835,4035,Lytchett Minster School,113863,0,FD,229,48.6,0.21,0.05,0.37,24%,12%,41%,15%,69%,67%
1,835,5402,Budmouth College,113902,0,FD,256,40.9,-0.84,-1,-0.69,67%,20%,29%,23%,51%,48%
4,835, , , , , ,3993,45,-0.14,-0.18,-0.1,48.10%,20.60%,39.30%,23.50%,62.90%,59.90%
1,835,4504,Queen Elizabeth's School,141526,0,ACC,385,43.3,-0.22,-0.34,-0.09,44%,15%,35%,18%,60%,58%
1,835,4503,Gillingham School,113882,0,VC,263,44.9,-0.27,-0.43,-0.12,76%,33%,46%,38%,63%,59%
1,835,4505,Beaminster School,113884,0,VC,96,44.9,-0.1,-0.36,0.16,33%,19%,40%,23%,67%,60%
1,835,4008,Parkfield School,139596,0,F,25,33.6,-1.37,-1.96,-0.79,56%,4%,20%,4%,40%,28%
1,835,6030,Sherborne International,113948,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,4512,The Gryphon School,138471,0,ACC,233,49.6,0.21,0.04,0.37,58%,27%,46%,30%,76%,73%
1,835,4179,Sturminster Newton High School,113875,0,CY,99,44.3,-0.35,-0.6,-0.1,21%,12%,41%,12%,66%,58%
1,835,4511,Shaftesbury School,140898,0,ACC,120,47.9,0.18,-0.05,0.41,22%,11%,42%,14%,73%,70%
1,835,4510,The Blandford School,113888,0,VC,135,41.9,-0.33,-0.55,-0.12,24%,11%,30%,12%,51%,49%
2,835,6004,Sheiling School,113952,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,6005,Bryanston School,113910,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,4022,Ferndown Upper School,113854,0,CY,164,48.7,0.29,0.09,0.48,29%,13%,42%,14%,70%,66%
1,835,6003,St Mary's School,126515,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,835,5950,Beaucroft Foundation School,113956,0,FDS,15,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,835,4000,Isle of Portland Aldridge Community Academy,138388,1,AC,120,32.6,-0.92,-1.14,-0.69,18%,7%,19%,8%,42%,31%
1,835,6022,Ringwood Waldorf School,113943,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,6024,Sherborne School for Girls,113919,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,4024,The Purbeck School,113855,0,CY,145,45.9,0.36,0.16,0.57,27%,12%,38%,13%,59%,58%
1,835,6015,Milton Abbey School,113932,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,835,6016,Purbeck View School,113950,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,835,7000,Portfield School,113942,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,835,4187,The Wey Valley School,138616,0,ACC,157,37.5,-0.67,-0.86,-0.47,48%,14%,22%,18%,48%,45%
2,836,7005,Winchelsea School,113955,0,CYS,16,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,836,5410,Corfe Hills School,136574,0,ACC,302,44.1,-0.13,-0.28,0.01,29%,10%,37%,12%,67%,63%
1,836,6905,St Aldhelm's Academy,136206,0,AC,61,39.1,0.21,-0.1,0.52,7%,0%,30%,0%,48%,46%
1,836,4610,"St Edward's Roman Catholic/Church of England School, Poole",113893,0,VA,177,49,0.18,-0.01,0.36,31%,16%,50%,18%,73%,71%
1,836,5407,Poole High School,113907,0,FD,299,47.8,0.26,0.12,0.4,32%,16%,44%,17%,69%,68%
1,836,6000,Canford School,113922,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,836,7004,Victoria Education Centre,113954,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,836,4001,Magna Academy,139711,0,AC,80,46.4,0.35,0.07,0.64,16%,14%,36%,14%,54%,54%
4,836, , , , , ,1346,51.3,0.2,0.13,0.27,38.20%,25.90%,53.60%,27.30%,72.40%,70.70%
2,836,7016,Langside School,133740,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,836,5409,Poole Grammar School,136850,0,ACC,172,69.3,0.39,0.2,0.58,78%,70%,96%,72%,99%,98%
1,836,4000,Carter Community School,139258,0,AC,59,41.3,0.35,0.01,0.69,10%,0%,24%,0%,44%,42%
1,836,5403,Parkstone Grammar School,136368,0,ACC,172,70.9,0.65,0.46,0.84,68%,65%,95%,65%,97%,97%
2,836,5951,Montacute School,137286,0,ACCS,7,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,837,5408,St Peter's Catholic Comprehensive School,137349,0,ACC,238,50.2,0.27,0.11,0.44,38%,25%,51%,28%,77%,75%
1,837,6905,The Bishop of Winchester Academy,136120,0,AC,145,46.4,0.2,-0.01,0.4,12%,8%,50%,8%,76%,70%
1,837,4005,Glenmoor Academy,140008,0,AC,96,53.4,0.9,0.65,1.16,7%,7%,66%,7%,83%,81%
1,837,4168,Harewood College,138171,0,ACC,145,36.1,-0.95,-1.16,-0.74,74%,8%,26%,10%,49%,43%
1,837,5404,Avonbourne College,138193,0,ACC,195,42.3,-0.09,-0.27,0.1,67%,18%,28%,24%,58%,52%
1,837,5405,Bournemouth School for Girls,136996,0,ACC,162,71.5,0.57,0.37,0.78,64%,61%,93%,64%,100%,100%
4,837, , , , , ,1610,47.9,-0.02,-0.08,0.04,41.00%,22.20%,47.60%,24.00%,67.60%,64.70%
1,837,4000,LeAF Studio,138385,0,SS,66,44.6,-0.31,-0.63,0.01,52%,9%,29%,11%,56%,55%
1,837,6001,Talbot Heath School,113945,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,837,4189,Oak Academy,139037,0,ACC,110,36.6,-0.58,-0.82,-0.33,23%,4%,20%,4%,39%,37%
1,837,6009,Kings Bournemouth,138333,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,837,7021,Tregonwell Academy,137998,0,ACCS,29,4.5,-2.63,-3.08,-2.18,0%,0%,0%,0%,0%,0%
1,837,6906,The Bourne Academy,136125,0,AC,146,40.5,-0.28,-0.49,-0.08,5%,1%,28%,2%,51%,49%
1,837,6002,Bournemouth Collegiate School,113937,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,837,4004,Winton Academy,140007,0,AC,100,47.7,0.67,0.41,0.92,10%,8%,43%,8%,67%,64%
1,837,5400,Bournemouth School,137452,0,ACC,148,69.6,0.31,0.09,0.52,86%,78%,95%,79%,99%,98%
2,837,7012,Linwood School,113961,0,CYS,22,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,840,4000,North Durham Academy,136745,0,AC,173,40.5,-0.22,-0.4,-0.03,29%,13%,25%,15%,45%,45%
1,840,4154,Whitworth Park School and Sixth Form College,114300,0,FD,153,41.6,-0.62,-0.82,-0.42,18%,7%,31%,8%,59%,53%
1,840,4694,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",138172,0,ACC,214,50.3,-0.02,-0.18,0.15,63%,37%,52%,40%,74%,71%
1,840,4681,St John's School & Sixth Form College - A Catholic Academy,137702,0,ACC,211,49.5,-0.1,-0.27,0.07,25%,15%,53%,16%,74%,74%
1,840,4214,Dene Community School,114313,0,CY,117,40.7,-0.21,-0.44,0.01,21%,7%,21%,11%,47%,47%
1,840,4139,Wolsingham School,114297,0,CY,99,51.3,0.04,-0.21,0.29,22%,19%,51%,19%,63%,62%
1,840,6003,Barnard Castle School,114336,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,840,7032,Durham Trinity School & Sports College,114349,0,CYS,16,1.3,-1.35,-1.95,-0.74,0%,0%,0%,0%,0%,0%
1,840,4150,Ferryhill Business Enterprise College,114299,0,CY,113,46.1,0.04,-0.19,0.27,23%,14%,30%,16%,61%,59%
2,840,7028,Villa Real School,114345,0,CYS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4171,Staindrop School,137234,0,ACC,88,47.6,-0.22,-0.48,0.04,49%,20%,32%,25%,66%,65%
1,840,6004,Durham High School for Girls,114330,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,840,6013,North East Centre for Autism - Aycliffe School,139329,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,840,4215,The Academy at Shotton Hall,136451,0,ACC,206,51.6,0.04,-0.13,0.21,50%,35%,48%,40%,73%,73%
1,840,4185,Belmont Community School,114308,0,CY,147,39.7,-0.63,-0.83,-0.43,12%,6%,32%,6%,47%,41%
2,840,7030,Windlestone School,114347,0,CYS,22,8.4,-2.03,-2.56,-1.5,0%,0%,0%,0%,0%,0%
1,840,4691,St Leonard's Roman Catholic Voluntary Aided Comprehensive School,114326,0,VA,218,51.6,-0.15,-0.32,0.02,58%,26%,47%,33%,76%,74%
2,840,6010,The Grange Learning Centre,135834,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,840,7033,The Oaks Secondary School,134662,0,CYS,48,4.8,-1.66,-2.01,-1.31,0%,0%,2%,0%,4%,0%
1,840,4054,The Hermitage Academy,136683,0,ACC,145,46.8,-0.14,-0.34,0.07,45%,27%,39%,34%,66%,66%
4,840, , , , , ,4619,44.4,-0.23,-0.27,-0.19,34.90%,17.70%,34.30%,20.90%,57.60%,55.70%
1,840,4162,Bishop Barrington School A Sports with Mathematics College,114301,0,CY,146,44.1,-0.21,-0.41,-0.01,28%,8%,25%,14%,53%,53%
1,840,4218,Wellfield School,114315,0,CY,74,48.5,0.36,0.07,0.64,28%,19%,36%,19%,64%,59%
2,840,6012,Highcroft School,136748,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,840,7029,Hope Wood Academy,138718,0,ACCS,18,0.7,-1.8,-2.38,-1.23,0%,0%,0%,0%,0%,0%
2,840,7006,Elemore Hall School,114337,0,CYS,12,4.7,-2.18,-2.88,-1.48,0%,0%,0%,0%,0%,0%
1,840,6000,Durham School,114331,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,840,4128,Parkside Academy,137903,0,ACC,116,49.1,0.35,0.12,0.58,34%,21%,47%,22%,66%,64%
1,840,4693,St Bede's Catholic Comprehensive School and Byron College,114327,0,VA,105,42.9,-0.26,-0.49,-0.02,76%,21%,26%,37%,59%,57%
1,840,4099,"Tanfield School, Specialist College of Science and Engineering",114293,0,CY,99,36.5,-0.76,-1.01,-0.52,26%,11%,25%,16%,44%,41%
1,840,4231,Sedgefield Community College,114317,0,CY,159,52.2,0.25,0.06,0.44,43%,28%,40%,30%,71%,71%
1,840,4178,King James I Academy Bishop Auckland,136770,0,ACC,109,43.5,0.07,-0.16,0.3,3%,0%,22%,2%,49%,49%
2,840,7000,The Meadows School,131905,0,CYS,12,5.4,-2.46,-3.16,-1.76,0%,0%,0%,0%,0%,0%
1,840,4003,Apollo Studio Academy,141109,1,SS,36,31,-0.74,-1.15,-0.34,0%,0%,6%,0%,19%,14%
1,840,4176,"Greenfield Community College, A Specialist Arts and Science School",114305,0,FD,212,41.9,-0.34,-0.5,-0.17,56%,17%,22%,22%,48%,46%
1,840,4047,Park View School,136971,0,ACC,213,48.4,-0.22,-0.39,-0.05,27%,17%,34%,20%,61%,61%
1,840,4001,Consett Academy,137638,0,AC,221,46.4,-0.14,-0.3,0.03,38%,13%,24%,18%,48%,47%
